Numero du dept : 23
1 Aubrac et Carladez 10389 Polygon
2 Aveyron et Tarn 10856 Polygon
3 Causse-Comtal 11444 Polygon
4 Causses-Rougiers 11548 Polygon
5 Ceor-Ségala 13809 Polygon
6 Enne et Alzou 13414 Polygon
7 Lot et Dourdou 14042 Polygon
8 Lot et Montbazinois 11585 Polygon
9 Lot et Palanges 10207 Polygon
10 Lot et Truyère 10045 Polygon
11 Millau-1 14184 Polygon
12 Millau-2 14463 Polygon
13 Monts du Réquistanais 10630 Polygon
14 Nord-Lévezou 12989 Polygon
15 Raspes et Lévezou 10932 Polygon
16 Rodez-1 11434 Polygon
17 Rodez-2 12137 Polygon
18 Rodez-Onet 13347 Polygon
19 Saint-Affrique 12797 Polygon
20 Tarn et Causses 10262 Polygon
21 Vallon 11972 Polygon
22 Villefranche-de-Rouergue 13168 Polygon
23 Villeneuvois et Villefranchois 10575 Polygon

2.609699 44.769259 2.602098 44.761031 1 10
2.602098 44.761031 2.603359 44.754285 1 10
2.603359 44.754285 2.598728 44.748997 1 10
2.598728 44.748997 2.59067 44.75234 1 10
2.59067 44.75234 2.58304 44.751553 1 10
2.58304 44.751553 2.57783 44.747284 1 10
2.57783 44.747284 2.569981 44.744153 1 10
2.569981 44.744153 2.570259 44.742231 1 10
2.570259 44.742231 2.56631 44.738257 1 10
2.56631 44.738257 2.559136 44.734592 1 10
2.559136 44.734592 2.558673 44.731411 1 10
2.558673 44.731411 2.552242 44.731516 1 10
2.552242 44.731516 2.553565 44.73494 1 0
2.553565 44.73494 2.550646 44.736262 1 0
2.550646 44.736262 2.554209 44.739691 1 0
2.554209 44.739691 2.554664 44.744709 1 0
2.554664 44.744709 2.55188 44.745894 1 0
2.55188 44.745894 2.55292 44.75113 1 0
2.55292 44.75113 2.549899 44.754734 1 0
2.549899 44.754734 2.553536 44.757301 1 0
2.553536 44.757301 2.560976 44.75935 1 0
2.560976 44.75935 2.559783 44.761274 1 0
2.559783 44.761274 2.563023 44.765909 1 0
2.563023 44.765909 2.56199 44.769943 1 0
2.56199 44.769943 2.564715 44.772501 1 0
2.564715 44.772501 2.562675 44.774845 1 0
2.562675 44.774845 2.564266 44.77817 1 0
2.564266 44.77817 2.564266 44.77817 1 0
1.970964 44.276562 1.971584 44.282084 2 22
1.971584 44.282084 1.979782 44.282607 2 22
1.979782 44.282607 1.987794 44.287193 2 22
1.987794 44.287193 1.996351 44.288375 2 22
1.996351 44.288375 1.991999 44.293607 2 22
1.991999 44.293607 2.000568 44.295756 2 22
2.000568 44.295756 2.002571 44.298149 2 22
2.002571 44.298149 2.010616 44.295842 2 22
2.010616 44.295842 2.010975 44.299281 2 22
2.010975 44.299281 2.017598 44.305618 2 22
2.017598 44.305618 2.020904 44.304811 2 22
2.020904 44.304811 2.033698 44.306289 2 22
2.033698 44.306289 2.036584 44.309057 2 22
2.036584 44.309057 2.047768 44.308941 2 22
2.047768 44.308941 2.050549 44.310773 2 22
2.050549 44.310773 2.043606 44.313154 2 22
2.043606 44.313154 2.047251 44.319212 2 22
2.047251 44.319212 2.040096 44.323709 2 22
2.040096 44.323709 2.041214 44.328915 2 22
2.041214 44.328915 2.03982 44.331026 2 22
2.03982 44.331026 2.042993 44.335202 2 22
2.042993 44.335202 2.046274 44.332347 2 22
2.046274 44.332347 2.050545 44.334213 2 22
2.050545 44.334213 2.058594 44.332173 2 22
2.058594 44.332173 2.062815 44.332079 2 22
2.062815 44.332079 2.070747 44.334623 2 22
2.070747 44.334623 2.074659 44.336778 2 22
2.074659 44.336778 2.07324 44.343539 2 22
2.07324 44.343539 2.076435 44.35032 2 22
2.076435 44.35032 2.074636 44.356885 2 22
2.074636 44.356885 2.078478 44.356241 2 22
2.078478 44.356241 2.083429 44.360044 2 22
2.083429 44.360044 2.082742 44.362184 2 22
2.082742 44.362184 2.090291 44.363479 2 23
2.090291 44.363479 2.09501 44.362181 2 23
2.09501 44.362181 2.100994 44.364707 2 23
2.100994 44.364707 2.102715 44.360445 2 23
2.102715 44.360445 2.106509 44.358678 2 23
2.106509 44.358678 2.110657 44.36297 2 23
2.110657 44.36297 2.113678 44.361813 2 23
2.113678 44.361813 2.118224 44.364526 2 23
2.118224 44.364526 2.118019 44.369195 2 23
2.118019 44.369195 2.128267 44.370492 2 23
2.128267 44.370492 2.132839 44.369928 2 23
2.132839 44.369928 2.139072 44.367155 2 23
2.139072 44.367155 2.143472 44.363822 2 23
2.143472 44.363822 2.151683 44.360214 2 23
2.151683 44.360214 2.153019 44.362464 2 23
2.153019 44.362464 2.14967 44.365416 2 23
2.14967 44.365416 2.154668 44.370554 2 23
2.154668 44.370554 2.162409 44.371813 2 23
2.162409 44.371813 2.169204 44.370028 2 23
2.169204 44.370028 2.172517 44.367964 2 23
2.172517 44.367964 2.171843 44.36294 2 23
2.171843 44.36294 2.187238 44.356101 2 23
2.187238 44.356101 2.193489 44.350129 2 23
2.193489 44.350129 2.202563 44.347836 2 23
2.202563 44.347836 2.20314 44.350888 2 23
2.20314 44.350888 2.199318 44.352543 2 23
2.199318 44.352543 2.202702 44.357212 2 23
2.202702 44.357212 2.19671 44.357752 2 23
2.19671 44.357752 2.1972 44.36171 2 23
2.1972 44.36171 2.205483 44.363042 2 23
2.205483 44.363042 2.208839 44.366736 2 23
2.208839 44.366736 2.211551 44.373639 2 23
2.211551 44.373639 2.210337 44.376327 2 23
2.210337 44.376327 2.213541 44.378025 2 23
2.213541 44.378025 2.212826 44.38121 2 23
2.212826 44.38121 2.209941 44.383896 2 23
2.209941 44.383896 2.203146 44.386053 2 23
2.203146 44.386053 2.199911 44.390527 2 23
2.199911 44.390527 2.209153 44.393171 2 23
2.209153 44.393171 2.218626 44.393374 2 23
2.218626 44.393374 2.228871 44.388781 2 23
2.228871 44.388781 2.235655 44.387713 2 23
2.235655 44.387713 2.24006 44.386792 2 6
2.24006 44.386792 2.24252 44.383024 2 6
2.24252 44.383024 2.236741 44.379784 2 6
2.236741 44.379784 2.236722 44.378185 2 6
2.236722 44.378185 2.244925 44.37819 2 6
2.244925 44.37819 2.254946 44.379028 2 6
2.254946 44.379028 2.25243 44.37414 2 6
2.25243 44.37414 2.258262 44.371739 2 6
2.258262 44.371739 2.261459 44.373309 2 6
2.261459 44.373309 2.264179 44.36839 2 6
2.264179 44.36839 2.270099 44.368736 2 6
2.270099 44.368736 2.278041 44.366469 2 6
2.278041 44.366469 2.279119 44.367835 2 6
2.279119 44.367835 2.288644 44.367509 2 6
2.288644 44.367509 2.288314 44.360807 2 5
2.288314 44.360807 2.284439 44.356963 2 5
2.284439 44.356963 2.283738 44.35335 2 5
2.283738 44.35335 2.286108 44.350342 2 5
2.286108 44.350342 2.283926 44.346033 2 5
2.283926 44.346033 2.283931 44.34039 2 5
2.283931 44.34039 2.274979 44.333503 2 5
2.274979 44.333503 2.273433 44.327079 2 5
2.273433 44.327079 2.27398 44.323848 2 5
2.27398 44.323848 2.269256 44.321698 2 5
2.269256 44.321698 2.264844 44.321241 2 5
2.264844 44.321241 2.265618 44.315254 2 5
2.265618 44.315254 2.26214 44.311433 2 5
2.26214 44.311433 2.261608 44.306789 2 5
2.261608 44.306789 2.264833 44.304282 2 5
2.264833 44.304282 2.262766 44.299626 2 5
2.262766 44.299626 2.257245 44.296798 2 5
2.257245 44.296798 2.254527 44.2916 2 5
2.254527 44.2916 2.254813 44.286017 2 5
2.254813 44.286017 2.253005 44.284887 2 5
2.253005 44.284887 2.253479 44.280563 2 5
