Numero du dept : 29
1 Bièvre 43024 Polygon
2 Bourgoin-Jallieu 50320 Polygon
3 Chartreuse-Guiers 35299 Polygon
4 Charvieu-Chavagneux 50085 Polygon
5 Echirolles 46456 Polygon
6 Fontaine-Seyssinet 37386 Polygon
7 Fontaine-Vercors 38210 Polygon
8 Le Grand-Lemps 34596 Polygon
9 Grenoble-1 46843 Polygon
10 Grenoble-2 44021 Polygon
11 Grenoble-3 46817 Polygon
12 Grenoble-4 46807 Polygon
13 Le Haut-Grésivaudan 42030 Polygon
14 L'Isle-d'Abeau 49566 Polygon
15 Matheysine-Trièves 29277 Polygon
16 Meylan 43912 Polygon
17 Morestel 36615 Polygon
18 Le Moyen Grésivaudan 43923 Polygon
19 Oisans-Romanche 33065 Polygon
20 Le Pont-de-Claix 44436 Polygon
21 Roussillon 45475 Polygon
22 Saint-Martin-d'Hères 47142 Polygon
23 Le Sud Grésivaudan 40823 Polygon
24 La Tour-du-Pin 34770 Polygon
25 Tullins 37968 Polygon
26 La Verpillière 43419 Polygon
27 Vienne-1 39712 Polygon
28 Vienne-2 47469 Polygon
29 Voiron 45527 Polygon

5.383307 45.670489 5.383298 45.665526 2 17
5.383298 45.665526 5.380743 45.661773 2 17
5.380743 45.661773 5.379048 45.656276 2 17
5.379048 45.656276 5.393427 45.654213 2 17
5.393427 45.654213 5.399583 45.650994 2 17
5.399583 45.650994 5.40663 45.648697 2 17
5.40663 45.648697 5.399934 45.634891 2 17
5.399934 45.634891 5.398129 45.633109 2 17
5.398129 45.633109 5.403 45.626167 2 17
5.403 45.626167 5.403387 45.622934 2 17
5.403387 45.622934 5.408662 45.621503 2 17
5.408662 45.621503 5.412165 45.617815 2 17
5.412165 45.617815 5.420614 45.614628 2 17
5.420614 45.614628 5.412271 45.611668 2 24
5.412271 45.611668 5.402265 45.614164 2 24
5.402265 45.614164 5.384985 45.614958 2 24
5.384985 45.614958 5.376798 45.615768 2 24
5.376798 45.615768 5.369605 45.607344 2 24
5.369605 45.607344 5.372251 45.60455 2 24
5.372251 45.60455 5.37754 45.603757 2 24
5.37754 45.603757 5.387059 45.604565 2 24
5.387059 45.604565 5.392197 45.602662 2 24
5.392197 45.602662 5.398634 45.602242 2 24
5.398634 45.602242 5.401154 45.598102 2 24
5.401154 45.598102 5.397404 45.589296 2 24
5.397404 45.589296 5.397125 45.583473 2 24
5.397125 45.583473 5.392657 45.582729 2 24
5.392657 45.582729 5.391899 45.580586 2 24
5.391899 45.580586 5.381709 45.582301 2 24
5.381709 45.582301 5.381179 45.583862 2 24
5.381179 45.583862 5.373622 45.584624 2 24
5.373622 45.584624 5.368306 45.584088 2 24
5.368306 45.584088 5.35045 45.586627 2 24
5.35045 45.586627 5.349166 45.582053 2 24
5.349166 45.582053 5.339569 45.572588 2 24
5.339569 45.572588 5.344271 45.56861 2 24
5.344271 45.56861 5.347259 45.564471 2 24
5.347259 45.564471 5.354074 45.56429 2 24
5.354074 45.56429 5.358017 45.561162 2 24
5.358017 45.561162 5.359434 45.557171 2 24
5.359434 45.557171 5.365743 45.553467 2 24
5.365743 45.553467 5.376236 45.55241 2 24
5.376236 45.55241 5.382188 45.552772 2 24
5.382188 45.552772 5.380095 45.54942 2 24
5.380095 45.54942 5.375565 45.550392 2 24
5.375565 45.550392 5.367961 45.550358 2 24
5.367961 45.550358 5.36694 45.545392 2 24
5.36694 45.545392 5.361753 45.547627 2 24
5.361753 45.547627 5.356217 45.546686 2 24
5.356217 45.546686 5.347805 45.542362 2 24
5.347805 45.542362 5.349281 45.536069 2 24
5.349281 45.536069 5.352788 45.533289 2 24
5.352788 45.533289 5.359696 45.531675 2 24
5.359696 45.531675 5.366016 45.532008 2 24
5.366016 45.532008 5.368203 45.527733 2 24
5.368203 45.527733 5.367807 45.525048 2 24
5.367807 45.525048 5.372717 45.520686 2 24
5.372717 45.520686 5.371181 45.517792 2 24
5.371181 45.517792 5.365874 45.514318 2 8
5.365874 45.514318 5.35625 45.511743 2 8
5.35625 45.511743 5.354711 45.508234 2 8
5.354711 45.508234 5.350399 45.507823 2 8
5.350399 45.507823 5.350644 45.504006 2 8
5.350644 45.504006 5.345442 45.503415 2 8
5.345442 45.503415 5.342401 45.498427 2 8
5.342401 45.498427 5.334972 45.492831 2 8
5.334972 45.492831 5.332811 45.492284 2 8
5.332811 45.492284 5.326404 45.480408 2 8
5.326404 45.480408 5.327653 45.47722 2 8
5.327653 45.47722 5.32325 45.475467 2 8
5.32325 45.475467 5.321027 45.477398 2 8
5.321027 45.477398 5.315479 45.477908 2 8
5.315479 45.477908 5.315642 45.482956 2 8
5.315642 45.482956 5.311812 45.484114 2 8
5.311812 45.484114 5.304867 45.484182 2 8
5.304867 45.484182 5.298836 45.479868 2 8
5.298836 45.479868 5.291731 45.481634 2 1
5.291731 45.481634 5.286618 45.484456 2 1
5.286618 45.484456 5.278292 45.485727 2 1
5.278292 45.485727 5.276819 45.490641 2 1
5.276819 45.490641 5.272391 45.489819 2 1
5.272391 45.489819 5.271003 45.493457 2 1
5.271003 45.493457 5.265092 45.497555 2 1
5.265092 45.497555 5.264303 45.500993 2 1
5.264303 45.500993 5.269722 45.502814 2 14
5.269722 45.502814 5.277884 45.502085 2 14
5.277884 45.502085 5.281891 45.506725 2 14
