Numero du dept : 19
1 Angoulême-1 18855 Polygon
2 Angoulême-2 19158 Polygon
3 Angoulême-3 22451 Polygon
4 Boëme-Echelle 17899 Polygon
5 Boixe-et-Manslois 17536 Polygon
6 Charente-Bonnieure 17321 Polygon
7 Charente-Champagne 17191 Polygon
8 Charente-Nord 18924 Polygon
9 Charente-Sud 20115 Polygon
10 Charente-Vienne 19028 Polygon
11 Cognac-1 16797 Polygon
12 Cognac-2 17541 Polygon
13 La Couronne 15597 Polygon
14 Gond-Pontouvre 19513 Polygon
15 Jarnac 15971 Polygon
16 Touvre-et-Braconne 18900 Polygon
17 Tude-et-Lavalette 18182 Polygon
18 Val de Nouère 20850 Polygon
19 Val de Tardoire 21828 Polygon

0.003501 45.549286 -0.007776 45.550935 4 9
-0.007776 45.550935 -0.014288 45.554096 4 9
-0.014288 45.554096 -0.020692 45.555345 4 9
-0.020692 45.555345 -0.029034 45.559238 4 9
-0.029034 45.559238 -0.028188 45.565044 4 7
-0.028188 45.565044 -0.025962 45.566557 4 7
-0.025962 45.566557 -0.022133 45.575275 4 7
-0.022133 45.575275 -0.011894 45.580686 4 7
-0.011894 45.580686 -0.00546 45.587047 4 7
-0.00546 45.587047 -0.011219 45.591544 4 7
-0.011219 45.591544 -0.010926 45.600613 4 7
-0.010926 45.600613 -0.00138 45.603744 4 7
-0.00138 45.603744 -0.00138 45.603744 4 0
0.041176 45.881547 0.046458 45.881188 5 8
0.046458 45.881188 0.058415 45.873225 5 8
0.058415 45.873225 0.060406 45.867323 5 8
0.060406 45.867323 0.065047 45.868526 5 8
0.065047 45.868526 0.067862 45.86448 5 8
0.067862 45.86448 0.074841 45.861875 5 8
0.074841 45.861875 0.084558 45.859299 5 8
0.084558 45.859299 0.087666 45.859229 5 8
0.087666 45.859229 0.089647 45.863332 5 8
0.089647 45.863332 0.09551 45.867339 5 8
0.09551 45.867339 0.098546 45.866751 5 8
0.098546 45.866751 0.103026 45.875766 5 8
0.103026 45.875766 0.103135 45.879641 5 8
0.103135 45.879641 0.100701 45.882137 5 8
0.100701 45.882137 0.100492 45.888479 5 8
0.100492 45.888479 0.096538 45.890713 5 8
0.096538 45.890713 0.097793 45.893897 5 8
0.097793 45.893897 0.096443 45.897073 5 8
0.096443 45.897073 0.092114 45.899427 5 8
0.092114 45.899427 0.095305 45.901088 5 8
0.095305 45.901088 0.098963 45.9001 5 8
0.098963 45.9001 0.104455 45.90082 5 8
0.104455 45.90082 0.113349 45.898056 5 8
0.113349 45.898056 0.117493 45.904584 5 8
0.117493 45.904584 0.11781 45.910834 5 8
0.11781 45.910834 0.121937 45.920618 5 8
0.121937 45.920618 0.119527 45.929186 5 8
0.119527 45.929186 0.125847 45.93844 5 8
0.125847 45.93844 0.133309 45.936302 5 8
0.133309 45.936302 0.13566 45.941853 5 8
0.13566 45.941853 0.145736 45.939558 5 8
0.145736 45.939558 0.148813 45.941592 5 8
0.148813 45.941592 0.154073 45.940214 5 8
0.154073 45.940214 0.165297 45.942146 5 8
0.165297 45.942146 0.170115 45.945696 5 8
0.170115 45.945696 0.186398 45.95302 5 8
0.186398 45.95302 0.201293 45.953906 5 8
0.201293 45.953906 0.200171 45.941121 5 8
